(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
 1485M                                                      4.5 -0.5
 1486M                                                     18.2  6.0
 1487M                                                     10.3  3.3
 1488M                                                      5.4  1.6
 1489M                                                      9.1  0.9
 1491M                                                     16.1  2.5
 1492M                                                     11.3  2.4
 1493M                                                     12.6  3.5
 1506M                                                     39.8  9.8
 1508M                                                     36.4  1.6
 1509M                                                     20.2  1.6
 1510M                                                     20.3 -4.6
 1512M                                                     53.3 -7.5
 1513M                                                     19.4  2.1
 1514M                                                     34.8  7.9
 1516M                                                      7.7  1.7
 1518M                                                     19.4  3.4
 1519M                                                     12.9 -0.9
 1521M                                                     31.7 12.2
 1522M                                                      2.6  0.9
 1524M                                                      8.6 -2.8
 1526M                                                     52.2 11.8
 1527M                                                     48.5  1.2
 1528M                                                     14.4 -0.4
 1532M                                                     30.3  5.8
 1533M                                                      4.1 -0.4
 1536M                                                     32.4  0.7
 1538M                                                      4.2 -2.5
 1539M                                                     18.6  7.9
 1540M                                                     47.6  3.9
 1541M                                                     41.4 19.2
 1542M                                                     39.7  8.7
 1543M                                                     24.6  8.6
 1544M                                                     20.0  1.2
 1546M                                                     29.4 -3.3
 1548M                                                     12.0  1.6
 1549M                                                     13.8  4.2
 1550M                                                      5.4  1.5
 1551M                                                     20.2  3.1
 1552M                                                     57.3  7.8
 1553M                                                     49.2  2.8
 1554M                                                      2.5  1.0
 1555M                                                     48.5 -3.2
 1556M                                                     14.8  3.8
 1557M                                                     34.1  4.3
 1558M                                                     18.1  1.8
 1561M                                                      8.7  0.9
 1563M                                                     23.6  9.9
 1564M                                                     13.4  5.2
 1565M                                                     48.5  0.1
 1566M                                                      6.0  4.1
 1567M                                                     35.6 -0.5
 1568M                                                      7.0  2.0
 1570M                                                      1.9  2.2
 1572M                                                     32.8  9.8
 1573M                                                     13.0 -1.8
 1577M                                                     13.1 -0.8
 1578M                                                     66.0  5.5
 1579M                                                     22.6 -4.9
 1580M                                                     73.4  2.5
 1581M                                                     38.1 19.3
 1582M                                                     82.1 16.6
 1583M                                                     68.6 30.2
 1584M                                                      8.0  2.5
 1587M                                                     55.4 -4.0
 1588M                                                     20.2  3.6
