role,offset_seconds,LIT_802,LIT_806,PDIT_830,PIC_807_IN,TE_820,TE_830,TE_831,TE_832,TE_833,TE_834,TE_835,TIT_806,TIT_809,VT_812X,VT_812Y,VT_813X,VT_813Y,VT_814X,VT_814Y,VT_815X,VT_815Y,VT_830,VT_831,XT_829,ZT_827,ZT_828
test-0,2614200.0,30.58378,42.2162323,3.225362,5.75504,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.92766,102.500053,10.8035526,8.478619,14.53444,21.1208744,17.2950268,14.7269115,26.2575321,11.6273479,1.91974521,1.91871822,4995.823,-0.053010892,-0.059661232
test-0,2614500.0,30.6990414,42.21529,3.18324637,5.749265,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.971096,102.514641,10.8039465,8.669915,14.5340271,21.21839,17.3404312,14.6761637,26.2583141,11.7692747,2.20838,2.07305121,4996.909,-0.053010643,-0.059356976
test-0,2614800.0,30.439558,41.98457,3.18147421,5.746343,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.9530258,102.5724,10.8035526,8.620432,14.3893738,21.0252476,17.29484,14.6765165,26.2077713,11.6277027,2.16980386,2.131147,4995.819,-0.053010643,-0.05887259
test-0,2615100.0,30.5824,42.21529,3.179005,5.75788832,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.9277077,102.60862,10.8491488,8.281397,14.1964483,20.9744072,17.4407463,14.67617,26.2077713,11.672368,2.073433,2.034973,4995.823,-0.05319399,-0.05893317
test-0,2615400.0,30.5253334,42.6187668,3.18403959,5.746349,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.90241,102.543633,10.8037338,8.573594,14.2918177,20.9291954,17.39059,14.7766628,26.2577457,11.8650341,2.13186932,2.03466725,4995.823,-0.053071193,-0.05923689
test-0,2615700.0,30.52638,42.21529,3.19977546,5.74925327,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.9638634,102.536255,10.8037386,8.478619,14.4341383,20.8296833,17.3907681,14.7267065,26.1627731,11.628335,2.132112,2.131479,4995.823,-0.05325379,-0.059417527
test-0,2616000.0,30.6403,42.4474373,3.19612551,5.755052,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.844593,102.420517,10.84933,7.942071,13.7102451,20.4439774,17.53764,14.6761742,26.0153084,11.3345747,1.95759821,1.97599983,4995.819,-0.053193275,-0.058870904
test-0,2616300.0,30.526144,42.850914,3.19977117,5.749265,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.76491,102.405991,10.8996859,7.99338865,13.902504,20.6867676,17.486515,14.6763515,26.1617889,11.43032,1.9576242,1.95699954,4995.823,-0.053376854,-0.059175372
test-0,2616600.0,30.44213,42.4494553,3.19720054,5.75500727,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.01179,51.9989624,40.8228226,102.384377,10.85011,7.99201727,13.8501511,20.5375023,17.4420376,14.7267065,26.161211,11.5771961,2.05479455,2.113087,4995.819,-0.05368203,-0.05960741
test-0,2616900.0,30.4968586,42.4467659,3.2000742,5.752173,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.7975578,102.406113,10.8037748,8.038575,13.8061066,20.4436359,17.4415512,14.6761293,26.0157471,11.430953,2.09271026,2.03491426,4996.91748,-0.053865492,-0.059785485
test-0,2617200.0,30.46804,42.6203728,3.21627545,5.746395,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.80115,102.442184,10.8996859,7.94302845,13.9023228,20.3943787,17.3913574,14.7265053,26.0650711,11.5766106,2.03567314,2.054207,4995.823,-0.054171346,-0.0603954
test-0,2617500.0,30.3817711,42.447155,3.21336246,5.75215864,76.9982,75.99567,70.9967346,73.9997559,63.9973145,69.99878,51.9989624,40.89149,102.550781,10.8035526,8.669444,14.7258415,21.1212025,17.3401852,14.7768364,26.2075653,11.6735563,2.073234,1.93801129,4996.91748,-0.054352652,-0.060455248
test-0,2617800.0,30.61189,42.6187248,3.22929525,5.749277,76.9982,75.99567,70.9967346,73.9997559,63.9973145,68.99625,51.9989624,40.90961,102.529106,10.9450722,8.281403,14.1962624,20.6885319,17.295435,14.6765566,26.2081623,11.3866978,2.054367,2.01514268,4995.823,-0.05484126,-0.06082313
test-0,2618100.0,30.4388752,42.6212921,3.22142053,5.74927664,76.9982,75.99567,70.9967346,73.9997559,63.9973145,68.99625,51.9989624,40.8445663,102.507233,10.84933,8.185264,14.1447477,20.7325687,17.44093,14.7269058,26.16161,11.7234859,2.20954585,1.95738387,4995.823,-0.055330038,-0.061128072
test-0,2618400.0,30.3816032,42.8508835,3.20993853,5.75214672,76.9982,75.99567,70.9967346,73.9997559,63.9973145,68.99625,51.9989624,40.7722321,102.478477,10.8033428,8.331954,14.2418633,21.0259171,17.3909721,14.7267065,26.3538589,11.8194189,2.459102,2.09280682,4994.907,-0.05569682,-0.061372697
test-0,2618700.0,30.5554676,42.8528366,3.20636868,5.74927759,76.9982,75.99567,70.9967346,73.9997559,63.9973145,68.99625,51.9989624,40.7288,102.420578,10.8031225,8.619543,14.4843,21.122076,17.14876,14.6767817,26.303299,11.5778208,2.03490281,2.09255934,4996.91748,-0.056124337,-0.061493985
test-0,2619000.0,30.8709812,43.0821648,3.20924425,5.74637175,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.67457,102.406075,10.8035526,8.573694,14.4344606,21.3627911,17.3399086,14.6308031,26.1121178,11.5287848,2.24865627,2.150792,4996.91748,-0.056671955,-0.062167432
test-0,2619300.0,30.2378368,42.85185,3.21067667,5.746383,76.9982,75.99567,70.9967346,73.9997559,63.9973145,68.99625,51.9989624,40.7035255,102.384377,10.8033514,8.524021,14.4838839,21.1214752,17.199091,14.7270908,26.2581272,11.7246561,2.05412769,1.9761529,4995.819,-0.056795187,-0.062227495
test-0,2619600.0,30.4122372,42.6291,3.212353,5.754943,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.7541046,102.42041,10.7531977,8.432261,14.3431206,21.0742683,17.2444839,14.6773014,26.2105331,11.6769562,2.03774214,2.07187653,4995.83936,-0.057218734,-0.06270632
test-0,2619900.0,30.496048,43.2550354,3.22753263,5.75213146,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.73965,102.420547,10.803318,8.619505,14.6307878,21.0715065,17.2447186,14.7768278,26.2084541,11.8649349,1.95736265,2.11070585,4995.82373,-0.057222758,-0.06277628
test-0,2620200.0,30.6406631,43.08419,3.22139883,5.749265,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.7287674,102.39888,10.8491011,8.619244,14.5354013,21.0264587,17.1987057,14.6763515,26.4043636,11.9147387,2.150502,2.07258463,4995.819,-0.05728353,-0.062409744
test-0,2620500.0,30.5547276,43.2565727,3.23149419,5.75215864,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.75767,102.398811,10.7531977,8.524713,14.5350838,21.3633823,17.1989136,14.8226328,26.4501839,12.2518635,2.170572,2.0145452,4996.9126,-0.056978602,-0.06180111
test-0,2620800.0,30.43843,43.2562561,3.22504449,5.7434783,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.7649536,102.456795,10.7533922,8.619953,14.726512,21.1220551,17.2444839,14.7768679,26.3538876,11.7694626,2.30454874,2.07282233,4996.913,-0.056978047,-0.06186222
test-0,2621100.0,30.6115475,43.2579765,3.22035933,5.749265,76.9982,75.99567,70.9967346,73.9997559,62.99936,68.99625,51.9989624,40.76489,102.435043,10.7531977,8.573511,14.5350838,21.123167,17.2444839,14.6761436,26.3535957,11.9148521,2.132157,1.9760735,4997.829,-0.05740557,-0.06216649
